"","Photoperiod","Measured_Photo","Reflectance","Measured_Photo2","RefMinusSE","Measured_Photo3","RefPlusSE","Measured_Photo4","UpperLength","Measured_Photo5","ULenMinusSE","Measured_Photo6","ULenPlusSE","Measured_Photo7","LowerLength","Measured_Photo8","LLenMinusSE","Measured_Photo9","LLenPlusSE","RefNegSE","RefPosSE","RefSE","ULenNegSE","ULenPosSE","ULenSE","LLenNegSE","LLenPosSE","LLenSE"
"1",2,1.956,0.46953,1.958,0.45787,1.975,0.47941,1.983,22.52,1.941,22.36,1.975,22.61,2.008,17.46,2.017,17.36,2.011,17.66,0.01166,0.00988,0.01077,0.159999999999993,0.0900000000000034,0.124999999999998,0.100000000000001,0.199999999999999,0.15
"2",4,3.996,0.40953,3.971,0.39648,4.004,0.42392,3.977,21.31,3.968,20.89,3.965,21.66,4.011,16.48,4.019,16.12,4.013,16.88,0.01305,0.01439,0.01372,0.419999999999998,0.350000000000001,0.385,0.359999999999999,0.399999999999999,0.379999999999999
"3",6,6.003,0.38531,5.955,0.37761,5.987,0.39293,5.962,21.89,5.962,21.47,5.956,22.26,6.013,16.97,6.004,16.58,6.027,17.34,0.00769999999999998,0.00762000000000002,0.00766,0.420000000000002,0.369999999999997,0.395,0.390000000000001,0.370000000000001,0.380000000000001
"4",8,8.009,0.36841,7.95,0.35395,7.975,0.38179,7.964,21.41,7.972,20.89,7.958,21.85,8.026,16.96,8.006,16.65,8.018,17.28,0.01446,0.01338,0.01392,0.52,0.440000000000001,0.48,0.310000000000002,0.32,0.315000000000001
"5",10,9.993,0.29348,9.958,0.28386,9.962,0.30461,9.983,19.98,9.983,19.79,9.972,20.18,10.014,15.67,10.008,15.51,10.003,15.83,0.00961999999999996,0.01113,0.010375,0.190000000000001,0.199999999999999,0.195,0.16,0.16,0.16
"6",11,10.996,0.29996,10.969,0.27195,10.957,0.32658,11.001,21.29,11.001,20.09,10.99,22.42,11.01,16.59,11.01,15.3,11.01,17.74,0.02801,0.02662,0.027315,1.2,1.13,1.165,1.29,1.15,1.22
"7",12,12.022,0.33911,12.001,0.32604,11.982,0.35172,12.011,22.19,12.019,21.98,11.974,22.39,12.016,17.34,12.028,17.06,12.016,17.66,0.01307,0.01261,0.01284,0.209999999999997,0.200000000000003,0.205,0.280000000000001,0.32,0.300000000000001
"8",13,13.025,0.41911,13.025,0.41143,12.997,0.42728,13.003,22.26,13.012,21.98,12.992,22.56,13.012,17.35,13.012,17.13,13,17.59,0.00768000000000002,0.00816999999999996,0.00792499999999999,0.279999999999998,0.300000000000001,0.289999999999999,0.219999999999999,0.239999999999998,0.229999999999999
"9",14,14.028,0.45798,14.037,0.45059,14.011,0.46615,14.021,21.97,14.03,21.56,13.999,22.34,14.007,17.34,14.013,17.04,14.018,17.67,0.00739000000000001,0.00817000000000001,0.00778000000000001,0.409999999999997,0.370000000000001,0.389999999999999,0.300000000000001,0.329999999999998,0.315
"10",16,16.034,0.4639,16.04,0.45622,16.006,0.47179,16.023,22.33,16.035,21.93,16.023,22.72,16.012,17.32,16.012,17.12,16.032,17.58,0.00767999999999996,0.00789000000000006,0.00778500000000001,0.400000000000002,0.389999999999997,0.395,0.199999999999999,0.259999999999998,0.229999999999999
"11",18,18.038,0.41391,18.035,0.40327,18.013,0.42348,18.017,21.91,18.017,21.43,18.008,22.43,17.992,17.03,17.992,16.61,18.003,17.45,0.01064,0.00956999999999997,0.010105,0.479999999999997,0.520000000000003,0.5,0.420000000000002,0.420000000000002,0.420000000000002
"12",20,20.011,0.36546,20.008,0.35792,19.983,0.3725,20.011,22.21,20.005,21.98,19.994,22.43,19.994,17.3,20.005,17.18,19.994,17.51,0.00753999999999999,0.00703999999999999,0.00728999999999999,0.23,0.219999999999999,0.225,0.120000000000001,0.209999999999997,0.164999999999999
"13",22,21.972,0.37729,21.992,0.37053,21.978,0.38292,21.987,22.2,21.984,22.02,21.979,22.41,21.973,17.31,21.962,17.11,21.962,17.53,0.00676000000000004,0.00563000000000002,0.00619500000000003,0.180000000000003,0.209999999999997,0.195,0.200000000000003,0.219999999999995,0.209999999999999
"14",24,23.933,0.37729,23.942,0.36715,23.945,0.38609,23.955,22.78,23.953,22.51,23.955,23.03,23.93,17.88,23.941,17.68,23.93,18.15,0.01014,0.00880000000000003,0.00947000000000001,0.270000000000003,0.25,0.260000000000002,0.199999999999999,0.27,0.234999999999999
